"Refs","Value","Footprint","Qty","Description","Mfr","MPN","LCSC"
"C1","47uF","PCM_JLCPCB:C_0805","1","6.3V 47uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Samsung Electro-Mechanics","","C16780"
"C2,C8-C10,C15","100nF","PCM_JLCPCB:C_0402","5","16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Samsung Electro-Mechanics","","C1525"
"C3,C4,C16","10uF","PCM_JLCPCB:C_0805","3","25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Samsung Electro-Mechanics","","C15850"
"C5-C7","22uF","PCM_JLCPCB:C_0805","3","25V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Samsung Electro-Mechanics","","C45783"
"C11,C17","4.7uF","Capacitor_SMD:C_0402_1005Metric","2","Unpolarized capacitor, small symbol","","",""
"C21,C22","1uF","Capacitor_SMD:C_0402_1005Metric","2","Unpolarized capacitor, small symbol","","",""
"D1","SP0503BAHT","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","1","TVS Diode Array, 5.5V Standoff, 3 Channels, SOT-143 package","","",""
"D2","White","PCM_JLCPCB:D_0603","1","White 0603 LED Indication - Discrete ROHS","Hubei KENTO Elec","","C2290"
"D3","KT-0603R","LED_SMD:LED_0201_0603Metric","1","Light emitting diode","","",""
"D4","B5819W","Diode_SMD:D_0603_1608Metric","1","Schottky diode","","",""
"J2,J4","Conn_01x02","Connector_Wire:SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm","2","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"L2","1.5uH","Inductor_SMD:L_Coilcraft_XAL4020-XXX","1","Inductor","","",""
"Q1","AO3401A","PCM_JLCPCB:Q_SOT-23","1","30V 4A 44mΩ@10V,4.3A 1.4W 1.3V@250uA 1 Piece P-Channel SOT-23 MOSFETs ROHS","Alpha & Omega Semicon","","C15127"
"Q3","DMG3414U","Package_TO_SOT_SMD:SOT-23","1","4.2A Id, 20V Vds, N-Channel MOSFET, SOT-23","","",""
"R1","470kΩ","PCM_JLCPCB:R_0402","1","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 470kΩ 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C25790"
"R2","150kΩ","PCM_JLCPCB:R_0402","1","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 150kΩ 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C25755"
"R3,R4","5.1kΩ","PCM_JLCPCB:R_0402","2","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 5.1kΩ 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C25905"
"R5","2.2kΩ","PCM_JLCPCB:R_0402","1","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 2.2kΩ 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C25879"
"R6,R20","2.2k","Resistor_SMD:R_0402_1005Metric","2","Resistor, small symbol","","",""
"R11","10kΩ","PCM_JLCPCB:R_0402","1","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C25744"
"R13","1k","Resistor_SMD:R_0402_1005Metric","1","Resistor, small symbol","","",""
"R14","10k","Resistor_SMD:R_0402_1005Metric","1","Resistor, small symbol","","",""
"R18","100k","Resistor_SMD:R_0402_1005Metric","1","Resistor, small symbol","","",""
"R19","100kΩ","PCM_JLCPCB:R_0402","1","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 100kΩ 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C25741"
"U1","MCP73831-2-MC","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm","1","Single cell, Li-Ion/Li-Po charge management controller, 4.20V, Tri-State Status Output, in DFN-8 package","","",""
"U2","FH35C-11S-0.3SHW(50)_C7427016","FH35C_11S_0_3SHW_50_:FPC-SMD_FH35C-11S-0.3SHW","1","","","",""
"U3","TPS63070RNMR","TPS63070RNMR:VREG_TPS63070RNMR","1","","","",""
"U7","DRV2605LDGS","Package_SO:VSSOP-10_3x3mm_P0.5mm","1","Haptic driver for LRAs and ERMs with effect library, 2-5.2V, VSSOP-10","","",""
"USB1","TC-005_C6332285","usbc:USB-C-SMD_TC-005","1","","","",""
